node,h*,h1,edges,edge costs
225,8,6, 53 249 188 191, 1 1 1 1
226,8,6, 54 181 193 249, 1 1 1 1
227,8,6, 205 249 181 197, 1 1 1 1
228,8,6, 206 187 198 250, 1 1 1 1
229,8,6, 208 250 187 201, 1 1 1 1
230,8,6, 207 188 199 249, 1 1 1 1
231,8,6, 209 189 203 250, 1 1 1 1
232,8,6, 204 250 189 195, 1 1 1 1
233,8,6, 212 190 196 251, 1 1 1 1
234,8,6, 214 251 190 200, 1 1 1 1
235,8,6, 213 191 197 249, 1 1 1 1
236,8,6, 215 192 202 251, 1 1 1 1
237,8,6, 210 251 192 194, 1 1 1 1
238,8,6, 211 249 193 199, 1 1 1 1
239,8,6, 218 200 194 251, 1 1 1 1
240,8,6, 219 201 195 250, 1 1 1 1
241,8,6, 216 251 202 196, 1 1 1 1
242,8,6, 217 250 203 198, 1 1 1 1
243,8,7, 16 207 204, 1 1 1
244,8,7, 20 206 205, 1 1 1
245,8,7, 17 213 210, 1 1 1
246,8,7, 24 212 211, 1 1 1
247,8,7, 21 219 216, 1 1 1
248,8,7, 25 218 217, 1 1 1
249,9,7, 252 225 227 238 226 230 235, 1 1 1 1 1 1 1
250,9,7, 253 229 232 242 231 228 240, 1 1 1 1 1 1 1
251,9,7, 254 234 237 241 236 233 239, 1 1 1 1 1 1 1
252,10,7, 249 14 27, 1 1 1
253,10,7, 250 18 28, 1 1 1
254,10,7, 251 22 29, 1 1 1
